method,model,stage,seed,formal_step,bellman_mse_target,ranking_auc,sign_consistency,success_rate_mae,success_brier,official_success_readout,success_head_calibrated_mae,success_head_calibrated_brier,success_rate_mae_value_s0,success_brier_value_s0,success_rate_mae_rho_chain,success_brier_rho_chain,updated_params,adaptation_wall_s,checkpoint
e2_base_gru_fixed,base-gru-fixed (A),A,20260901,3000,,0.5882076514816453,0.6063829787234043,0.48237728381252964,0.3701497522812158,raw_V_s0,0.49401079229226336,0.3024622928915537,0.48237728381252964,0.3701497522812158,0.49074752186588916,0.2942527416297631,0,0.0,/data/user/leviccdong/EKSF/experiments/current/experiment2_ablation_fixed_20260901/results/train_v5/e2_base_gru_fixed/seed20260901/formal/step_3000.pt
e2_base_gru_fixed,base-gru-fixed (A),A,20260902,3000,,0.6089807852965747,0.648936170212766,0.4800844449629949,0.36823684253296124,raw_V_s0,0.49157637402545973,0.30798888378740513,0.4800844449629949,0.36823684253296124,0.49074752186588916,0.2942527416297631,0,0.0,/data/user/leviccdong/EKSF/experiments/current/experiment2_ablation_fixed_20260901/results/train_v5/e2_base_gru_fixed/seed20260902/formal/step_3000.pt
e2_base_gru_fixed,base-gru-fixed (A),A,20260903,3000,,0.6401520959260897,0.6631205673758865,0.48091002903893243,0.3711232272181379,raw_V_s0,0.49088967805470235,0.29772311513157446,0.48091002903893243,0.3711232272181379,0.49074752186588916,0.2942527416297631,0,0.0,/data/user/leviccdong/EKSF/experiments/current/experiment2_ablation_fixed_20260901/results/train_v5/e2_base_gru_fixed/seed20260903/formal/step_3000.pt
e2_base_gru_fixed,base-gru-fixed (A),A,20260904,3000,,0.6456661260995625,0.6170212765957447,0.48772946612603846,0.36550478592058433,raw_V_s0,0.48764560517252353,0.29560082337953963,0.48772946612603846,0.36550478592058433,0.49074752186588916,0.2942527416297631,0,0.0,/data/user/leviccdong/EKSF/experiments/current/experiment2_ablation_fixed_20260901/results/train_v5/e2_base_gru_fixed/seed20260904/formal/step_3000.pt
e2_base_gru_fixed,base-gru-fixed (A),A,20260905,3000,,0.6511619735613543,0.6985815602836879,0.4849754048063187,0.3661960603586573,raw_V_s0,0.4932952482765054,0.29066957903872287,0.4849754048063187,0.3661960603586573,0.49074752186588916,0.2942527416297631,0,0.0,/data/user/leviccdong/EKSF/experiments/current/experiment2_ablation_fixed_20260901/results/train_v5/e2_base_gru_fixed/seed20260905/formal/step_3000.pt
e2_gru_event_fixed,GRU-EVENT-fixed (A+B),AB,20260901,3000,0.09284130108418732,0.5960125804707848,0.6099290780141844,0.49074752186588916,0.2942527416297631,adapt_N5_product_rho,0.4945943190028767,0.2922743193177262,0.4866723590344191,0.3400975523709161,0.49074752186588916,0.2942527416297631,0,0.00030160893220454454,/data/user/leviccdong/EKSF/experiments/current/experiment2_ablation_fixed_20260901/results/train_v5/e2_gru_event_fixed/seed20260901/formal/step_3000.pt
e2_gru_event_fixed,GRU-EVENT-fixed (A+B),AB,20260902,3000,0.0911814309682048,0.6518319082018773,0.5673758865248227,0.49074752186588916,0.2942527416297631,adapt_N5_product_rho,0.49173763787850094,0.29079508191121,0.48664179056882856,0.338475487687798,0.49074752186588916,0.2942527416297631,0,0.0002681749174371362,/data/user/leviccdong/EKSF/experiments/current/experiment2_ablation_fixed_20260901/results/train_v5/e2_gru_event_fixed/seed20260902/formal/step_3000.pt
e2_gru_event_fixed,GRU-EVENT-fixed (A+B),AB,20260903,3000,0.09099341255588864,0.6591010614772225,0.6134751773049646,0.49074752186588916,0.2942527416297631,adapt_N5_product_rho,0.4933631548639061,0.2923820162518125,0.48714967802166936,0.34044961358452774,0.49074752186588916,0.2942527416297631,0,0.0002691380213946104,/data/user/leviccdong/EKSF/experiments/current/experiment2_ablation_fixed_20260901/results/train_v5/e2_gru_event_fixed/seed20260903/formal/step_3000.pt
e2_gru_event_fixed,GRU-EVENT-fixed (A+B),AB,20260904,3000,0.09324071399686373,0.6835796599341492,0.5921985815602837,0.49074752186588916,0.2942527416297631,adapt_N5_product_rho,0.49144929225946704,0.29379347243287396,0.4889461512118578,0.34660342379595,0.49074752186588916,0.2942527416297631,0,0.00026407407131046057,/data/user/leviccdong/EKSF/experiments/current/experiment2_ablation_fixed_20260901/results/train_v5/e2_gru_event_fixed/seed20260904/formal/step_3000.pt
e2_gru_event_fixed,GRU-EVENT-fixed (A+B),AB,20260905,3000,0.09084164576868946,0.6287521499828002,0.6028368794326241,0.49074752186588916,0.2942527416297631,adapt_N5_product_rho,0.493861439836021,0.2841604445694212,0.4882490015029907,0.318265688691753,0.49074752186588916,0.2942527416297631,0,0.0002861869288608432,/data/user/leviccdong/EKSF/experiments/current/experiment2_ablation_fixed_20260901/results/train_v5/e2_gru_event_fixed/seed20260905/formal/step_3000.pt
e2_cfc_event_fixed,ETSF-CfC-optimized (A+B+C),ABC,20260901,3000,0.0365123456414501,0.7341656838173867,0.8156028368794326,0.49074752186588916,0.2942527416297631,adapt_N5_product_rho,0.49447192356045117,0.2672146080821855,0.4849407058954239,0.3774258485622663,0.49074752186588916,0.2942527416297631,0,0.25514189794193953,/data/user/leviccdong/EKSF/experiments/current/experiment2_ablation_fixed_20260901/results/train_v8/e2_cfc_event_fixed/seed20260901/formal/step_3000.pt
e2_cfc_event_fixed,ETSF-CfC-optimized (A+B+C),ABC,20260902,3000,0.03691840436565544,0.7512578013661605,0.8156028368794326,0.49074752186588916,0.2942527416297631,adapt_N5_product_rho,0.4942593023506641,0.27415840378524325,0.4849509245157242,0.3776659866933841,0.49074752186588916,0.2942527416297631,0,0.12483871204312891,/data/user/leviccdong/EKSF/experiments/current/experiment2_ablation_fixed_20260901/results/train_v8/e2_cfc_event_fixed/seed20260902/formal/step_3000.pt
e2_cfc_event_fixed,ETSF-CfC-optimized (A+B+C),ABC,20260903,3000,0.03778024078334542,0.7180243500909136,0.8156028368794326,0.49074752186588916,0.2942527416297631,adapt_N5_product_rho,0.49626194820322345,0.27215745010421505,0.4850020821392536,0.37743731594214075,0.49074752186588916,0.2942527416297631,0,0.1302986879600212,/data/user/leviccdong/EKSF/experiments/current/experiment2_ablation_fixed_20260901/results/train_v8/e2_cfc_event_fixed/seed20260903/formal/step_3000.pt
e2_cfc_event_fixed,ETSF-CfC-optimized (A+B+C),ABC,20260904,3000,0.0356384909466005,0.7786043540223107,0.8156028368794326,0.49074752186588916,0.2942527416297631,adapt_N5_product_rho,0.4905885578815625,0.28619274393944816,0.484924937337637,0.36224471082397725,0.49074752186588916,0.2942527416297631,0,0.12385415402241051,/data/user/leviccdong/EKSF/experiments/current/experiment2_ablation_fixed_20260901/results/train_v8/e2_cfc_event_fixed/seed20260904/formal/step_3000.pt
e2_cfc_event_fixed,ETSF-CfC-optimized (A+B+C),ABC,20260905,3000,0.037302342838447154,0.7180102216325126,0.8191489361702128,0.49074752186588916,0.2942527416297631,adapt_N5_product_rho,0.496940426441074,0.2679422931482322,0.4849532428383827,0.3776738366726242,0.49074752186588916,0.2942527416297631,0,0.12402334797661752,/data/user/leviccdong/EKSF/experiments/current/experiment2_ablation_fixed_20260901/results/train_v8/e2_cfc_event_fixed/seed20260905/formal/step_3000.pt
